product_id,brand,title,description,category,subcategory,gender,color,material,fit,sleeve,pattern,price_inr,image_url,injected_defect
P001,Mast & Harbour,Mast & Harbour Men's Black Regular Jacket,"Black jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,black,polyester,regular,full,colour-block,799,images/P001.jpg,none
P002,Roadster,Roadster Men's Black Tapered Cargo Pants,Black cargo pants designed for ever,Cargo Pants,cargo pants,Men,black,cotton,tapered,full,solid,699,images/P002.jpg,description
P003,Mast & Harbour,Mast & Harbour Men's Beige Regular Kurta,"Beige kurta designed for everyday wear, featuring a regular fit and cotton construction.",Kurta,kurta,Men,beige,cotton,regular,three-quarter,embroidered,1499,images/P003.jpg,none
P004,HRX,HRX Men's White Oversized Kurta,White kurta designed for everyday w,Kurta,kurta,Men,white,cotton,oversized,three-quarter,printed,799,images/P004.jpg,description
P005,MANGO,MANGO Men's Black Slim Shirt,"Black shirt designed for everyday wear, featuring a slim fit and cotton construction.",Shirt,shirt,Men,black,cotton,slim,half,solid,1199,images/P005.jpg,none
P006,HERE&NOW,HERE&NOW Women's Olive Relaxed Trousers,"Olive trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,olive,linen,relaxed,full,solid,1699,images/P006.jpg,none
P007,Roadster,Roadster Men's Beige Tapered Cargo Pants,Beige cargo pants designed for ever,Cargo Pants,cargo pants,Men,beige,cotton,tapered,full,solid,2499,images/P007.jpg,description
P008,U.S. Polo Assn.,U.S. Polo Assn. Men's White Regular Shirt,"White shirt designed for everyday wear, featuring a regular fit and cotton construction.",Shirt,shirt,Men,white,cotton,regular,half,striped,2499,images/P008.jpg,none
P009,Puma,Puma Women's White Relaxed Dress,"White dress designed for everyday wear, featuring a relaxed fit and polyester construction.",Dress,dress,Women,white,polyester,relaxed,sleeveless,,2499,images/P009.jpg,pattern
P010,MANGO,MANGO Sneakers,Navy sneakers designed for everyday,Sneakers,sneakers,Men,navy,mesh,wide,low-top,solid,599,images/P010.jpg,description
P011,Puma,Puma Women's Blue Slim Dress,"Blue dress designed for everyday wear, featuring a slim fit and polyester construction.",Dress,dress,Women,blue,polyester,slim,sleeveless,solid,2999,images/P011.jpg,none
P012,Mast & Harbour,Mast & Harbour Women's Pink Regular Sneakers,"Pink sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Women,pink,mesh,regular,low-top,colour-block,2999,images/P012.jpg,none
P013,WROGN,WROGN Men's Blue Wide Running Shoes,"Blue running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Men,blue,mesh,wide,low-top,colour-block,1699,images/P013.jpg,none
P014,Puma,Puma Women's Black Regular Handbag,"Black handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,black,leather,regular,medium,solid,699,images/P014.jpg,none
P015,Sparx,Sparx Men's Grey Slim Sneakers,"Grey sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Men,grey,mesh,slim,low-top,solid,1699,images/P015.jpg,none
P016,U.S. Polo Assn.,U.S. Polo Assn. Women's Black Slim Dress,"Black dress designed for everyday wear, featuring a slim fit and polyester construction.",Dress,dress,Women,black,polyester,slim,sleeveless,floral,599,images/P016.jpg,none
P017,MANGO,MANGO Men's Grey Straight Jeans,"Grey jeans designed for everyday wear, featuring a straight fit and denim construction.",Jeans,jeans,Men,grey,denim,straight,full,solid,2499,images/P017.jpg,none
P018,Puma,Puma Women's White Relaxed Dress,"White dress designed for everyday wear, featuring a relaxed fit and polyester construction.",Dress,dress,Women,white,polyester,relaxed,sleeveless,printed,1199,images/P018.jpg,none
