query_id,query,impressions,clicks,orders,ctr,conversion_rate,extracted_intent,relevant_products_count,correctly_matching_count,catalog_coverage,root_cause,affected_products_count,missing_attributes_breakdown,opportunity_score,demand_score,friction_score,gap_score,fixability_score,recommended_action
Q001,black oversized kurta men,8420,185,38,0.022,0.2054,"{""gender"": ""Men"", ""category"": ""Kurtas"", ""color"": ""black"", ""fit"": ""oversized"", ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""black"", ""oversized"", ""kurta"", ""men""]}",18,0,0.0,ATTRIBUTE_GAP,18,"{""fit"": 16, ""color"": 12}",84.5,86.1,68.5,100.0,95.0,"Enrich metadata on 18 relevant catalog items with missing query attributes (fit='oversized', color='black') to raise discovery coverage from 0% to 100%."
Q002,oversized t shirt men,9200,210,42,0.0228,0.2,"{""gender"": ""Men"", ""category"": ""Shirts"", ""color"": null, ""fit"": ""oversized"", ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""oversized"", ""t"", ""shirt"", ""men""]}",18,1,0.0556,ATTRIBUTE_GAP,17,"{""fit"": 17}",89.0,100.0,68.6,94.4,95.0,Enrich metadata on 17 relevant catalog items with missing query attributes (fit='oversized') to raise discovery coverage from 5% to 100%.
Q003,linen shirt men,7600,190,45,0.025,0.2368,"{""gender"": ""Men"", ""category"": ""Shirts"", ""color"": null, ""fit"": null, ""material"": ""linen"", ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""linen"", ""shirt"", ""men""]}",18,1,0.0556,ATTRIBUTE_GAP,17,"{""material"": 17}",76.1,71.4,63.8,94.4,95.0,Enrich metadata on 17 relevant catalog items with missing query attributes (material='linen') to raise discovery coverage from 5% to 100%.
Q004,wide leg jeans women,8100,195,41,0.0241,0.2103,"{""gender"": ""Women"", ""category"": ""Jeans"", ""color"": null, ""fit"": ""wide leg"", ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""wide"", ""leg"", ""jeans"", ""women""]}",8,0,0.0,ATTRIBUTE_GAP,8,"{""fit"": 8}",81.7,80.4,66.9,100.0,95.0,Enrich metadata on 8 relevant catalog items with missing query attributes (fit='wide leg') to raise discovery coverage from 0% to 100%.
Q005,relaxed cargo pants,6800,160,32,0.0235,0.2,"{""gender"": null, ""category"": ""Trousers"", ""color"": null, ""fit"": ""relaxed"", ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""relaxed"", ""cargo"", ""pants""]}",20,5,0.25,ATTRIBUTE_GAP,15,"{""fit"": 15}",67.8,57.1,68.2,75.0,95.0,Enrich metadata on 15 relevant catalog items with missing query attributes (fit='relaxed') to raise discovery coverage from 25% to 100%.
Q006,grey oversized hoodie men,5200,110,22,0.0212,0.2,"{""gender"": ""Men"", ""category"": null, ""color"": ""grey"", ""fit"": ""oversized"", ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""grey"", ""oversized"", ""hoodie"", ""men""]}",138,2,0.0145,ATTRIBUTE_GAP,136,"{""color"": 134, ""fit"": 122}",61.5,28.6,69.4,98.6,95.0,"Enrich metadata on 136 relevant catalog items with missing query attributes (fit='oversized', color='grey') to raise discovery coverage from 1% to 100%."
Q007,sleeveless summer dress women,4800,95,18,0.0198,0.1895,"{""gender"": ""Women"", ""category"": ""Dresses"", ""color"": null, ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": ""sleeveless"", ""raw_tokens"": [""sleeveless"", ""summer"", ""dress"", ""women""]}",20,3,0.15,ATTRIBUTE_GAP,17,"{""sleeve"": 17}",56.4,21.4,71.2,85.0,95.0,Enrich metadata on 17 relevant catalog items with missing query attributes to raise discovery coverage from 15% to 100%.
Q008,striped cotton shirt men,4900,105,20,0.0214,0.1905,"{""gender"": ""Men"", ""category"": ""Shirts"", ""color"": null, ""fit"": null, ""material"": ""cotton"", ""pattern"": ""striped"", ""sleeve"": null, ""raw_tokens"": [""striped"", ""cotton"", ""shirt"", ""men""]}",18,2,0.1111,ATTRIBUTE_GAP,16,"{""pattern"": 16, ""material"": 4}",57.6,23.2,70.2,88.9,95.0,Enrich metadata on 16 relevant catalog items with missing query attributes (material='cotton') to raise discovery coverage from 11% to 100%.
Q009,olive green cargo pants,4600,90,16,0.0196,0.1778,"{""gender"": null, ""category"": ""Trousers"", ""color"": ""olive"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""olive"", ""green"", ""cargo"", ""pants""]}",20,1,0.05,ATTRIBUTE_GAP,19,"{""color"": 19}",57.4,17.9,72.4,95.0,95.0,Enrich metadata on 19 relevant catalog items with missing query attributes (color='olive') to raise discovery coverage from 5% to 100%.
Q010,black casual trousers men,4500,95,18,0.0211,0.1895,"{""gender"": ""Men"", ""category"": ""Trousers"", ""color"": ""black"", ""fit"": null, ""material"": null, ""pattern"": null, ""sleeve"": null, ""raw_tokens"": [""black"", ""casual"", ""trousers"", ""men""]}",18,10,0.5556,ATTRIBUTE_GAP,8,"{""color"": 8}",46.0,16.1,70.5,44.4,95.0,Enrich metadata on 8 relevant catalog items with missing query attributes (color='black') to raise discovery coverage from 55% to 100%.
