query_id,query,impressions_monthly,clicks_monthly,orders_monthly,ctr,conversion_rate,ground_truth_root_cause
Q001,black oversized kurta men,9200,212,20,0.023,0.0943,ATTRIBUTE_GAP
Q002,black oversized shirt men,8600,198,22,0.023,0.1111,ATTRIBUTE_GAP
Q003,wide leg jeans women,8100,194,20,0.024,0.1031,ATTRIBUTE_GAP
Q004,black sneakers women,7600,228,26,0.03,0.114,ATTRIBUTE_GAP
Q005,linen shirt men,6900,207,24,0.03,0.1159,ATTRIBUTE_GAP
Q006,oversized t shirt men,6500,156,17,0.024,0.109,ATTRIBUTE_GAP
Q007,olive cargo pants men,6100,171,19,0.028,0.1111,ATTRIBUTE_GAP
Q008,white formal shirt men,5800,232,29,0.04,0.125,NO_CATALOG_GAP
Q009,floral dress women,5400,189,23,0.035,0.1217,NO_CATALOG_GAP
Q010,black running shoes women,5100,143,16,0.028,0.1119,INVENTORY_GAP
Q011,wide leg trousers women,4800,121,12,0.0252,0.0992,INVENTORY_GAP
Q012,red handbag women,4500,164,18,0.0364,0.1098,ATTRIBUTE_GAP
Q013,beige linen trousers women,4300,139,15,0.0323,0.1079,ATTRIBUTE_GAP
Q014,navy slim shirt men,4100,205,25,0.05,0.122,NO_CATALOG_GAP
Q015,grey running shoes men,3900,108,11,0.0277,0.1019,INVENTORY_GAP
Q016,black leather handbag women,3700,126,13,0.0341,0.1032,ATTRIBUTE_GAP
Q017,printed kurta men,3500,119,14,0.034,0.1176,ATTRIBUTE_GAP
Q018,relaxed jeans men,3300,132,15,0.04,0.1136,NO_CATALOG_GAP
Q019,olive jacket men,3100,102,10,0.0329,0.098,INVENTORY_GAP
Q020,white sneakers men,3000,151,16,0.0503,0.106,ATTRIBUTE_GAP
Q021,black straight jeans women,2900,124,13,0.0428,0.1048,NO_CATALOG_GAP
Q022,cotton kurta men,2800,136,15,0.0486,0.1103,NO_CATALOG_GAP
Q023,oversized t shirt women,2700,86,8,0.0319,0.093,INVENTORY_GAP
Q024,green floral dress women,2600,91,9,0.035,0.0989,INVENTORY_GAP
Q025,black tapered cargo pants men,2500,78,8,0.0312,0.1026,ATTRIBUTE_GAP
Q026,blue slim jeans men,2400,112,12,0.0467,0.1071,NO_CATALOG_GAP
Q027,beige shirt men,2300,105,11,0.0457,0.1048,NO_CATALOG_GAP
Q028,pink running shoes women,2200,64,6,0.0291,0.0938,INVENTORY_GAP
Q029,black relaxed trousers men,2100,96,10,0.0457,0.1042,ATTRIBUTE_GAP
Q030,red printed dress women,2000,70,7,0.035,0.1,INVENTORY_GAP
Q031,white cotton shirt men,1900,101,10,0.0532,0.099,NO_CATALOG_GAP
Q032,black jacket men,1800,82,8,0.0456,0.0976,ATTRIBUTE_GAP
Q033,grey sneakers women,1700,74,7,0.0435,0.0946,NO_CATALOG_GAP
Q034,beige handbag women,1600,69,7,0.0431,0.1014,ATTRIBUTE_GAP
Q035,straight trousers men,1500,72,7,0.048,0.0972,NO_CATALOG_GAP
Q036,navy kurta men,1400,61,6,0.0436,0.0984,ATTRIBUTE_GAP
Q037,white dress women,1300,58,6,0.0446,0.1034,NO_CATALOG_GAP
Q038,black cargo pants men,1200,45,4,0.0375,0.0889,INVENTORY_GAP
Q039,blue running shoes men,1100,39,4,0.0355,0.1026,INVENTORY_GAP
Q040,checked shirt men,1000,47,5,0.047,0.1064,ATTRIBUTE_GAP
