product_id,image_path,image_source,visual_match_status,validation_notes
P001,images/P001.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black regular Jacket (colour-block, polyester) - matches 'Mast & Harbour Men's Black Regular Jacket'"
P002,images/P002.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black tapered Cargo Pants (solid, cotton) - matches 'Roadster Men's Black Tapered Cargo Pants'"
P003,images/P003.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige regular Kurta (embroidered, cotton) - matches 'Mast & Harbour Men's Beige Regular Kurta'"
P004,images/P004.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white oversized Kurta (printed, cotton) - matches 'HRX Men's White Oversized Kurta'"
P005,images/P005.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black slim Shirt (solid, cotton) - matches 'MANGO Men's Black Slim Shirt'"
P006,images/P006.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's olive relaxed Trousers (solid, linen) - matches 'HERE&NOW Women's Olive Relaxed Trousers'"
P007,images/P007.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige tapered Cargo Pants (solid, cotton) - matches 'Roadster Men's Beige Tapered Cargo Pants'"
P008,images/P008.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white regular Shirt (striped, cotton) - matches 'U.S. Polo Assn. Men's White Regular Shirt'"
P009,images/P009.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white relaxed Dress (nan, polyester) - matches 'Puma Women's White Relaxed Dress'"
P010,images/P010.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy wide Sneakers (solid, mesh) - matches 'MANGO Sneakers'"
P011,images/P011.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's blue slim Dress (solid, polyester) - matches 'Puma Women's Blue Slim Dress'"
P012,images/P012.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's pink regular Sneakers (colour-block, mesh) - matches 'Mast & Harbour Women's Pink Regular Sneakers'"
P013,images/P013.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue wide Running Shoes (colour-block, mesh) - matches 'WROGN Men's Blue Wide Running Shoes'"
P014,images/P014.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black regular Handbag (solid, leather) - matches 'Puma Women's Black Regular Handbag'"
P015,images/P015.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey slim Sneakers (solid, mesh) - matches 'Sparx Men's Grey Slim Sneakers'"
P016,images/P016.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black slim Dress (floral, polyester) - matches 'U.S. Polo Assn. Women's Black Slim Dress'"
P017,images/P017.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey straight Jeans (solid, denim) - matches 'MANGO Men's Grey Straight Jeans'"
P018,images/P018.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white relaxed Dress (printed, polyester) - matches 'Puma Women's White Relaxed Dress'"
P019,images/P019.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's red regular Dress (nan, polyester) - matches 'Puma Women's Red Regular Dress'"
P020,images/P020.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige straight Trousers (checked, cotton) - matches 'HRX Men's Beige Straight Trousers'"
P021,images/P021.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's blue wide-leg Jeans (solid, denim) - matches 'U.S. Polo Assn. Women's Blue Wide Leg Jeans'"
P022,images/P022.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's blue regular Shirt (checked, nan) - matches 'Puma Men's Blue Regular Shirt'"
P023,images/P023.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black straight Cargo Pants (solid, cotton) - matches 'HRX Men's Black Straight Cargo Pants'"
P024,images/P024.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's olive straight Trousers (nan, linen) - matches 'Mast & Harbour Women's Olive Straight Trousers'"
P025,images/P025.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's pink slim Sneakers (solid, mesh) - matches 'Roadster Women's Pink Slim Sneakers'"
P026,images/P026.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's white regular Shirt (solid, cotton) - matches 'WROGN Men's White Regular Shirt'"
P027,images/P027.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black regular Handbag (solid, leather) - matches 'Sparx Women's Black Regular Handbag'"
P028,images/P028.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's olive relaxed Cargo Pants (solid, cotton) - matches 'U.S. Polo Assn. Men's Olive Relaxed Cargo Pants'"
P029,images/P029.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey regular T-Shirt (graphic, cotton) - matches 'Anouk Men's Grey Regular T-Shirt'"
P030,images/P030.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's olive straight Trousers (solid, linen) - matches 'Mast & Harbour Women's Olive Straight Trousers'"
P031,images/P031.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's white straight Trousers (nan, linen) - matches 'Levis Women's White Straight Trousers'"
P032,images/P032.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black oversized T-Shirt (solid, cotton) - matches 'Tokyo Talkies Men's Black Oversized T-Shirt'"
P033,images/P033.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's red regular Running Shoes (solid, mesh) - matches 'Sparx Men's Red Regular Running Shoes'"
P034,images/P034.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's black relaxed Jeans (solid, denim) - matches 'Tokyo Talkies Men's Black Relaxed Jeans'"
P035,images/P035.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black regular Dress (floral, polyester) - matches 'HERE&NOW Women's Black Regular Dress'"
P036,images/P036.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's beige relaxed Cargo Pants (solid, cotton) - matches 'HRX Men's Beige Relaxed Cargo Pants'"
P037,images/P037.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey nan Jeans (solid, denim) - matches 'WROGN Men's Grey Slim Jeans'"
P038,images/P038.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy slim T-Shirt (striped, cotton) - matches 'Libas Men's Navy Slim T-Shirt'"
P039,images/P039.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey tapered Jeans (solid, denim) - matches 'HERE&NOW Men's Grey Tapered Jeans'"
P040,images/P040.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's navy regular Kurta (embroidered, cotton) - matches 'WROGN Men's Navy Regular Kurta'"
P041,images/P041.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Women's black regular Running Shoes (solid, mesh) - matches 'Levis Women's Black Regular Running Shoes'"
P042,images/P042.jpg,Studio Catalog Photography / Controlled Synthetic Demo Asset,PASS,"Verified studio product photography of Men's grey regular T-Shirt (solid, cotton) - matches 'DressBerry Men's Grey Regular T-Shirt'"
