query_id,expected_root_cause,evaluation_set
Q001,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q002,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q003,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q004,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q005,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q006,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q007,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q008,NO_CATALOG_GAP,controlled-demo-ground-truth
Q009,NO_CATALOG_GAP,controlled-demo-ground-truth
Q010,INVENTORY_GAP,controlled-demo-ground-truth
Q011,INVENTORY_GAP,controlled-demo-ground-truth
Q012,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q013,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q014,NO_CATALOG_GAP,controlled-demo-ground-truth
Q015,INVENTORY_GAP,controlled-demo-ground-truth
Q016,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q017,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q018,NO_CATALOG_GAP,controlled-demo-ground-truth
Q019,INVENTORY_GAP,controlled-demo-ground-truth
Q020,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q021,NO_CATALOG_GAP,controlled-demo-ground-truth
Q022,NO_CATALOG_GAP,controlled-demo-ground-truth
Q023,INVENTORY_GAP,controlled-demo-ground-truth
Q024,INVENTORY_GAP,controlled-demo-ground-truth
Q025,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q026,NO_CATALOG_GAP,controlled-demo-ground-truth
Q027,NO_CATALOG_GAP,controlled-demo-ground-truth
Q028,INVENTORY_GAP,controlled-demo-ground-truth
Q029,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q030,INVENTORY_GAP,controlled-demo-ground-truth
Q031,NO_CATALOG_GAP,controlled-demo-ground-truth
Q032,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q033,NO_CATALOG_GAP,controlled-demo-ground-truth
Q034,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q035,NO_CATALOG_GAP,controlled-demo-ground-truth
Q036,ATTRIBUTE_GAP,controlled-demo-ground-truth
Q037,NO_CATALOG_GAP,controlled-demo-ground-truth
Q038,INVENTORY_GAP,controlled-demo-ground-truth
Q039,INVENTORY_GAP,controlled-demo-ground-truth
Q040,ATTRIBUTE_GAP,controlled-demo-ground-truth
